ID,window,serviceby,job_size,in_Queue_time,out_Queue_time,out_Server_time,queueing_time,response_time,isFinished
1,0,cm_01,0.07924756610454575,1435390673.218535,1435390673.22069,1435390673.300272,0.0021550655364990234,0.08173704147338867,1
2,0,cm_01,0.9770573442386843,1435392454.893514,1435392454.893816,1435392455.879292,0.0003020763397216797,0.9857780933380127,1
3,0,cm_01,0.11224184086955113,1435392712.302122,1435392712.302461,1435392712.415794,0.0003387928009033203,0.11367177963256836,1
4,0,cm_01,0.6386590776699748,1435392867.26558,1435392867.266082,1435392867.908261,0.0005021095275878906,0.6426811218261719,1
5,0,cm_02,1.822883752738945,1435390674.599127,1435390674.6003,1435390676.425605,0.0011730194091796875,1.8264780044555664,1
6,0,cm_01,1.8132607912429863,1435392714.241113,1435392714.241341,1435392716.056656,0.0002281665802001953,1.8155429363250732,1
7,0,cm_01,0.6423983282578072,1435392457.661972,1435392459.194104,1435392459.836712,1.5321319103240967,2.1747398376464844,1
8,0,cm_01,3.802010008080509,1435392869.609315,1435392869.611218,1435392873.417361,0.0019030570983886719,3.8080461025238037,1
9,0,cm_01,1.3472797968060672,1435392715.325751,1435392716.057511,1435392717.406286,0.7317600250244141,2.0805349349975586,1
10,0,cm_02,1.7262442925649215,1435392458.848554,1435392459.800288,1435392461.528719,0.9517340660095215,2.6801650524139404,1
11,0,cm_01,1.1933686128696261,1435390676.956053,1435390686.933501,1435390688.128288,9.977447986602783,11.172235012054443,1
12,0,cm_01,5.181269229815907,1435392871.320593,1435392873.418913,1435392878.605666,2.0983197689056396,7.2850728034973145,1
13,0,cm_01,14.668015799127096,1435392459.819321,1435392459.839018,1435392474.520064,0.019697189331054688,14.700743198394775,1
14,0,cm_02,0.09174898685425115,1435390679.423513,1435390685.192656,1435390685.284808,5.769143104553223,5.861294984817505,1
15,0,cm_01,12.182189275745305,1435392717.49649,1435392717.497466,1435392729.692028,0.0009760856628417969,12.19553804397583,1
16,0,cm_02,6.457023595238716,1435392872.588002,1435392872.59044,1435392879.054285,0.002438068389892578,6.466283082962036,1
17,0,cm_02,0.06952156816388899,1435392461.564755,1435392461.56497,1435392461.635621,0.00021505355834960938,0.07086610794067383,1
18,0,cm_01,0.9126664656535175,1435392719.299242,1435392729.692977,1435392730.606791,10.3937349319458,11.307548999786377,1
19,0,cm_02,0.011318631233364629,1435392462.668592,1435392462.669656,1435392462.681172,0.0010640621185302734,0.012579917907714844,1
20,0,cm_01,0.03600103463026372,1435390682.911603,1435390691.097353,1435390691.133878,8.185750007629395,8.222275018692017,1
21,0,cm_02,0.09701954159243242,1435392720.510199,1435392720.511129,1435392720.608476,0.0009298324584960938,0.09827685356140137,1
22,0,cm_01,1.0910291256860796,1435392874.457979,1435392878.606837,1435392879.699166,4.148858070373535,5.24118709564209,1
23,0,cm_01,1.0889727677524768,1435390683.894489,1435390691.135637,1435390692.226188,7.241147994995117,8.331698894500732,1
