ID,window,serviceby,testID,job_size,in_Queue_time,out_Queue_time,out_Server_time,queueing_time,response_time,isFinished
1,0,cm_01,20150629-203311 pm,1,1435624392.313537,1435624392.314716,1435624393.316624,0.0011792182922363281,1.003087043762207,1
2,0,cm_01,20150629-203311 pm,1,1435624392.58156,1435624393.317848,1435624394.319059,0.7362880706787109,1.7374989986419678,1
3,0,cm_02,20150629-203311 pm,1,1435624393.087442,1435624393.089711,1435624394.090914,0.0022690296173095703,1.003472089767456,1
4,0,cm_01,20150629-203311 pm,1,1435624394.031218,1435624394.320097,1435624395.321285,0.2888789176940918,1.2900669574737549,1
5,0,cm_01,20150629-203311 pm,1,1435624395.066407,1435624395.323305,1435624396.32507,0.2568979263305664,1.2586629390716553,1
6,0,cm_02,20150629-203311 pm,1,1435624395.107874,1435624395.109371,1435624396.110547,0.001497030258178711,1.0026731491088867,1
7,0,cm_02,20150629-203311 pm,1,1435624395.162291,1435624396.111615,1435624397.112873,0.9493238925933838,1.9505820274353027,1
8,0,cm_01,20150629-203311 pm,1,1435624396.460787,1435624396.463445,1435624397.464792,0.0026578903198242188,1.004004955291748,1
9,0,cm_01,20150629-203311 pm,1,1435624396.574686,1435624397.466931,1435624398.468515,0.8922450542449951,1.8938288688659668,1
10,0,cm_02,20150629-203311 pm,1,1435624396.816234,1435624397.114988,1435624398.116465,0.2987539768218994,1.3002309799194336,1
11,0,cm_03,20150629-203311 pm,1,1435624396.952238,1435624396.953331,1435624397.957843,0.0010929107666015625,1.0056049823760986,1
12,0,cm_03,20150629-203311 pm,1,1435624396.993936,1435624397.959424,1435624398.960903,0.9654879570007324,1.9669668674468994,1
13,0,cm_02,20150629-203311 pm,1,1435624397.196737,1435624398.118836,1435624399.120244,0.9220988750457764,1.9235069751739502,1
14,0,cm_01,20150629-203311 pm,1,1435624397.536155,1435624398.470553,1435624399.471861,0.9343979358673096,1.9357059001922607,1
15,0,cm_01,20150629-203311 pm,1,1435624399.231793,1435624399.473487,1435624400.474984,0.24169397354125977,1.2431910037994385,1
16,0,cm_02,20150629-203311 pm,1,1435624399.385366,1435624399.387224,1435624400.388532,0.0018579959869384766,1.0031659603118896,1
17,0,cm_01,20150629-203311 pm,1,1435624399.479034,1435624400.476467,1435624401.477843,0.9974329471588135,1.9988090991973877,1
18,0,cm_02,20150629-203311 pm,1,1435624399.516626,1435624400.389171,1435624401.390376,0.8725450038909912,1.8737502098083496,1
19,0,cm_03,20150629-203311 pm,1,1435624399.656736,1435624399.657815,1435624400.660748,0.0010790824890136719,1.004012107849121,1
20,0,cm_03,20150629-203311 pm,1,1435624400.348055,1435624400.662946,1435624401.664338,0.31489109992980957,1.3162832260131836,1
